266,Justin Timberlake,Rock Your Body
221,Jennifer Lopez,I'm Glad
203,B2K,Girlfriend
229,Jay-Z,Excuse Me Miss
218,Ginuwine featuring Baby,Hell Yeah
237,Joe Budden,Pump It Up
248,Nas,I Can
246,Frankie J,Don't Wanna Try
242,Daniel Bedingfield,If You're Not the One
223,Counting Crows featuring Vanessa Carlton,Big Yellow Taxi
263,Robbie Williams,Feel
222,Stacie Orrico,Stuck
217,Lisa Marie Presley,Lights Out
196,Bowling for Soup,Girl All the Bad Guys Want
229,The Ataris,In This Diary
196,Sum 41,The Hell Song
250,Chevelle,Send the Pain Below
238,3 Doors Down,The Road I'm On
225,Godsmack,Serenity
250,Coldplay,Clocks
