266,Justin Timberlake,Rock Your Body
221,Jennifer Lopez,I'm Glad
203,B2K,Girlfriend
229,Jay-Z,Excuse Me Miss
218,Ginuwine featuring Baby,Hell Yeah
237,Joe Budden,Pump It Up
248,Nas,I Can
246,Frankie J,Don't Wanna Try
242,Daniel Bedingfield,If You're Not the One
223,Counting Crows featuring Vanessa Carlton,Big Yellow Taxi
263,Robbie Williams,Feel
222,Stacie Orrico,Stuck
217,Lisa Marie Presley,Lights Out
196,Bowling for Soup,Girl All the Bad Guys Want
229,The Ataris,In This Diary
196,Sum 41,The Hell Song
250,Chevelle,Send the Pain Below
238,3 Doors Down,The Road I'm On
225,Godsmack,Serenity
250,Coldplay,Clocks
233,Mariah Carey,Don't Forget About Us
208,The Pussycat Dolls,Stickwitu
270,Nelly featuring Paul Wall and Ali & Gipp,Grillz
192,Chris Brown,Run It!
223,The Black Eyed Peas,My Humps
206,Rihanna,If It's Lovin' That You Want
228,Bow Wow featuring J-Kwon and Jermaine Dupri,Fresh AZIMIZ
228,Dem Franchize Boyz featuring Peanut and Charlay,"Lean wit It, Rock wit It"
215,Three 6 Mafia featuring Young Buck and Eightball & MJG,Stay Fly
185,T-Pain,I'm Sprung
237,Ray J,One Wish
219,Kelly Clarkson,Because of You
231,Natasha Bedingfield,Unwritten
231,Nickelback,Photograph
193,The All-American Rejects,Dirty Little Secret
179,Fall Out Boy,"Dance, Dance"
232,Relient K,Who I Am Hates Who I've Been
211,Gorillaz,Dare
239,Trace Adkins,Honky Tonk Badonkadonk
197,Cascada,Everytime We Touch
235,Beyoncé featuring Jay-Z,Crazy in Love
229,The Black Eyed Peas featuring Justin Timberlake,Where Is the Love?
206,Mýa,My Love Is Like...Wo
182,Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)"
216,Chingy,Right Thurr
224,Murphy Lee featuring Jermaine Dupri,Wat Da Hook Gon Be
220,R. Kelly,Thoia Thoing
259,Bow Wow featuring Baby,Let's Get Down
274,Justin Timberlake,Señorita
209,Thalía featuring Fat Joe,I Want You
238,Baby Bash featuring Frankie J.,Suga Suga
242,Ginuwine,In Those Jeans
228,Jagged Edge,Walked Outta Heaven
199,Stacie Orrico,(There's Gotta Be) More to Life
207,Liz Phair,Why Can't I?
195,Fountains of Wayne,Stacy's Mom
181,Good Charlotte,Girls & Boys
241,The Ataris,The Boys of Summer
205,Nickelback,Someday
234,3 Doors Down,Here Without You
226,No Doubt,It's My Life
198,Britney Spears,Toxic
213,Ludacris featuring Shawnna,Stand Up
269,Chingy featuring Ludacris and Snoop Dogg,Holidae In
269,Westside Connection featuring Nate Dogg,Gangsta Nation
220,Sarah Connor,Bounce
224,The Black Eyed Peas,Shut Up
