*NSYNC featuring Nelly,Girlfriend (The Neptunes Remix),284
2AM Club,Worry About You,191
3 Doors Down,The Road I'm On,238
3 Doors Down,Here Without You,234
3 Doors Down,Be Like That,235
3 Doors Down,When I'm Gone,254
3 Doors Down,Let Me Go,232
3 Doors Down,Kryptonite,233
3LW,Playas Gon' Play,221
3LW,No More (Baby I'ma Do Right),204
3OH!3,Don't Trust Me,192
3OH!3 featuring Kesha,My First Kiss,192
5 Seconds of Summer,Amnesia,220
5 Seconds of Summer,She's Kinda Hot,216
5 Seconds of Summer,She Looks So Perfect,202
98 Degrees,Because of You,297
98 Degrees,The Hardest Thing,275
98 Degrees,Give Me Just One Night (Una Noche),204
A Great Big World,This Is the New Year,192
A Great Big World,Already Home,227
A Great Big World and Christina Aguilera,Say Something,227
Aaliyah,Rock the Boat,273
Aaliyah,Try Again,284
Aaliyah,I Care 4 U,272
Aaliyah,Miss You,236
Aaliyah,More Than a Woman,228
Aanysa,Burn Break Crash,223
Aaron Carter,Fool's Gold,196
Aaron Carter,Aaron's Party (Come Get It),205
Adam Lambert,Whataya Want from Me,224
Adam Lambert,If I Had You,224
Adele,Rolling in the Deep,226
Adele,Someone like You,281
Adema,Giving In,235
Aerosmith,Just Push Play,197
Aerosmith,Jaded,214
Agnes,Release Me,253
Akon featuring Snoop Dogg,I Wanna Love You,236
Akon featuring Styles P,Locked Up,229
Alessia Cara,Scars to Your Beautiful,225
Alessia Cara,Wild Things,186
Alessia Cara,Here,197
Alex & Sierra,Scarecrow,203
Alex Aiono,Doesn't Get Better,182
Alex B,Too Cool,209
Alex Clare,Too Close,251
Alexandra Stan,Mr. Saxobeat,192
Alicia Keys,No One,253
All Saints,Never Ever (Single Edit),294
All Time Low,Something's Gotta Give,187
Aloe Blacc,The Man,209
AlunaGeorge featuring Popcaan,I'm in Control,209
Alx Veliz,Dancing Kizomba (English Version),189
Amanda Perez,Angel,217
American Authors,Best Day of My Life,193
American Hi-Fi,Flavor of the Weak,188
Amerie,1 Thing,234
Andrew Allen,Loving You Tonight,179
Andrew Grant,Thinking for a While,192
Andy Grammer,"Honey, I'm Good.",198
Andy Grammer,Good to Be Alive (Hallelujah),188
Anna Kendrick,Cups (Pitch Perfect's When I'm Gone),125
Anna Nalick,Breathe (2 AM),247
Aqua,Barbie Girl,196
Ariana Grande,Into You,238
Ariana Grande,One Last Time,193
Ariana Grande,Focus,208
Ariana Grande,Dangerous Woman,229
Ariana Grande and The Weeknd,Love Me Harder,230
Ariana Grande featuring Iggy Azalea,Problem,191
Ariana Grande featuring Mac Miller,The Way,224
Ariana Grande featuring Nicki Minaj,Side to Side,222
Ariana Grande featuring Zedd,Break Free,212
Ashanti,Only U,186
Ashlee Simpson,Pieces of Me,215
Ashley Parker Angel,Let U Go,216
Ashlyne Huff,Heart of Gold,213
ATC,Around the World (La La La La La),214
Avicii,Wake Me Up,244
Avicii,Hey Brother,252
Avril Lavigne,Here's to Never Growing Up,217
Avril Lavigne,When You're Gone,237
Avril Lavigne,What the Hell,229
Avril Lavigne,Girlfriend,215
Awolnation,Sail,258
B.o.B featuring Bruno Mars,Nothin' on You,217
B.o.B featuring Rivers Cuomo,Magic,193
B2K,Girlfriend,203
B2K,Uh Huh,186
B2K and P. Diddy,"Bump, Bump, Bump",232
Baby Bash featuring Akon,Baby I'm Back,220
Baby Bash featuring Frankie J.,Suga Suga,238
Baby Bash featuring Perla Cruz & Russell Lee,Shorty Doowop,197
Baby Bash featuring T-Pain,Cyclone,221
Backstreet Boys,More Than That,221
Backstreet Boys,I'll Never Break Your Heart,287
Backstreet Boys,Drowning,266
Backstreet Boys,Larger than Life,232
Backstreet Boys,As Long as You Love Me,212
Backstreet Boys,The Call (Neptunes Remix),233
Backstreet Boys,Just Want You to Know,232
Backstreet Boys,Shape of My Heart,229
Backstreet Boys,Incomplete,235
Backstreet Boys,All I Have to Give,275
Backstreet Boys,Show Me the Meaning of Being Lonely,233
Bad Meets Evil featuring Bruno Mars,Lighters,302
Baha Men,Move It Like This,202
Banks,Beggin for Thread,246
Basic Vacation,I Believe,196
Bastille,Pompeii,212
Baz Luhrmann,Everybody's Free (To Wear Sunscreen) (Edit),305
BBMak,Back Here,217
Beastie Boys,Ch-Check It Out,190
Becky G,Shower,204
Beenie Man featuring Janet Jackson,Feel It Boy,201
Beenie Man featuring Ms. Thing,Dude,231
Ben Harper,Steal My Kisses,245
Ben Rector,Brand New,240
Betty Who,All Of You,236
Beyoncé,"Me, Myself and I",301
Beyoncé,Irreplaceable,225
Beyoncé,Halo,223
Beyoncé,Naughty Girl,205
Beyoncé,Check on It,209
Beyoncé and Shakira,Beautiful Liar,197
Beyoncé featuring Jay-Z,Crazy in Love,235
Beyoncé featuring Jay-Z,Déjà Vu,240
Bibi Bourelly,Sally,169
Black Veil Brides,In the End,225
Blackstreet & Mýa featuring Mase & Blinky Blink,Take Me There,244
Blake Shelton,Honey Bee,219
Blessid Union of Souls,Hey Leonardo (She Likes Me for Me),206
Blink-182,Feeling This,173
Blink-182,The Rock Show,169
Blink-182,All the Small Things,167
Blink-182,First Date,169
Blink-182,What's My Age Again?,149
Bobby V,Slow Down,232
Bon Jovi,Everyday,177
Bon Jovi,It's My Life,223
Bone Thugs-n-Harmony featuring Akon,I Tried,287
Born Cages,Don't Look Back,268
Bow Wow featuring Baby,Let's Get Down,259
Bow Wow featuring Chris Brown & Johntá Austin,Shortie Like Mine,267
Bow Wow featuring Ciara,Like You,205
Bow Wow featuring J-Kwon and Jermaine Dupri,Fresh AZIMIZ,228
Bow Wow featuring T-Pain & Johntá Austin,Outta My System,232
Bowling for Soup,Girl All the Bad Guys Want,196
Bowling for Soup,1985,192
Boys Like Girls,Hero/Heroine,223
Boys Like Girls,Thunder,237
Boys Like Girls,Heart Heart Heartbreak,203
Boys Like Girls,Love Drunk,221
Boys Like Girls,The Great Escape,206
Breathe Carolina,Blackout,208
Brian McKnight,Anytime,271
Britney Spears,Toxic,198
Britney Spears,...Baby One More Time,212
Britney Spears,Break the Ice,193
Britney Spears,I'm a Slave 4 U,203
Britney Spears,Work Work,246
Britney Spears,(You Drive Me) Crazy,198
Britney Spears,Piece of Me,210
Britney Spears,If U Seek Amy,213
Britney Spears,Overprotected (The Darkchild Remix),186
Britney Spears,Don't Let Me Be the Last to Know,230
Britney Spears,Hold It Against Me,226
Britney Spears,Stronger,202
Britney Spears,I Wanna Go,208
Britney Spears,Till the World Ends,234
Britney Spears,Everytime,221
Britney Spears,Sometimes,237
Britney Spears,Lucky,204
Britney Spears,Womanizer,222
Britney Spears featuring G-Eazy,Make Me...,229
Britt Nicole,Gold,178
Brooke Valentine featuring Big Boi and Lil Jon,Girlfight,214
Bruno Mars,Locked Out of Heaven,230
Bruno Mars,When I Was Your Man,211
Bruno Mars,Gorilla,238
Bruno Mars,Treasure,174
Bruno Mars,It Will Rain,253
Bruno Mars,Grenade,218
Bruno Mars,The Lazy Song,187
Bruno Mars,24K Magic,224
Bruno Mars,Just the Way You Are,215
Bruno Mars,Young Girls,228
Bryson Tiller,Don't,198
Bubba Sparxxx,Ms. New Booty,200
Cady Groves,Love Actually,228
Cake,Never There,164
Calvin Harris,Feel So Close,202
Calvin Harris featuring Ellie Goulding,I Need Your Love,230
Calvin Harris featuring Ellie Goulding,Outside,225
Calvin Harris featuring Florence Welch,Sweet Nothing,208
Calvin Harris featuring John Newman,Blame,205
Calvin Harris featuring Ne-Yo,Let's Go,224
Calvin Harris featuring Rihanna,This Is What You Came For,218
Capital Cities,Safe and Sound,190
Capital Cities,Safe and Sound,192
Carly Rae Jepsen,Call Me Maybe,192
Carrie Underwood,Before He Cheats,197
Carrie Underwood,Undo It,176
Cascada,Everytime We Touch,197
Case,Happily Ever After,278
Cee Lo Green,Forget You,220
Celine Dion,A New Day Has Come,258
